ID,understood consent,voluntary consent,publication consent,data storage consent,mainconsent-1,vision/hearing,cognitive/dyslexia,prop_distraction,headphones,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Viewport Size,same_day,age,gender,nationality,location,abroad,education,L1,dialect,dialect_additions,age of onset,length of study,abroad_stay,length of stay,English qualification,English qual_additions,L3,L3_additions,listeningprofscore,readingprofscore,writingprofscore,speakingprofscore,sum_prof,mean_prof,level,prof_test_score,mean_test,Englishhours_listen,Arabichours_listen,Otherhours_listen,Englishhours_read,Arabichours_read,Otherhours_read,Englishhours_interact,Arabichours_interact,Otherhours_interact,prop_English_hours,prop_English_lit_hours,prop_Arabic_hours,prop_arabic_lit_hours
5196532,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Mac OS,Chrome,1440x789,1,34,f,Saudi,UK,yes,doctorate,Arabic,Saudi,Najdi Southern,12,22,yes,> 1 year,Postgraduate Degree,MA,none,,4,4,4,3,15,3.75,advanced,11,0.92,1,11,0,3,4,0,1,1,0,0.24,0.14,0.761904762,0.19047619
5229722,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.15,no_headphones,mobile,undefined M2007J3SY,Android,Chrome,793x304,1,29,m,Palestinian,Jordan,yes,bachelors,Arabic,Palestinian,,10,10,no,none,none,,none,,5,5,4,4,18,4.5,advanced,12,1,8,8,0,8,5,0,4,8,0,0.49,0.19,0.512195122,0.12195122
5201553,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.24,no_headphones,computer,Desktop or Laptop,Windows,Edge,992x502,1,57,f,Lebanese,Australia,yes,masters,Arabic,Lebanese,,5,17,yes,> 5 years,Postgraduate Degree,,none,,5,5,5,5,20,5,nearnative,12,1,11,5,0,11,3,0,10,2,0,0.76,0.26,0.238095238,0.071428571
5212731,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.32,earphones,computer,Desktop or Laptop,Windows,Chrome,1229x577,1,24,f,Jordanian,Jordan,no,bachelors,Arabic,Jordanian,,5,16,no,none,Undergraduate Degree,BA,Turkish,,4,4,3,3,14,3.5,intermediate,8,0.67,8,15,5,7,12,4,6,16,1,0.28,0.09,0.581081081,0.162162162
5182923,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.1,earphones,mobile,Apple iPhone,iOS,WebKit,724x354,1,32,f,Tunisian,UK,yes,bachelors,Arabic,Tunisian,"Syrian, Egyptian ",13,7,no,> 5 years,GCSE,,French,,4,4,3,4,15,3.75,advanced,12,1,10,7,3,8,8,4,10,3,3,0.5,0.14,0.321428571,0.142857143
5212696,Yes,Yes,Yes,Yes,Yes,No,No,0.69,headphones,computer,Desktop or Laptop,Windows,Chrome,1366x625,1,52,f,Palestinian,UK,yes,bachelors,Arabic,Palestinian,Middle Eastern,8,40,yes,> 5 years,Undergraduate Degree,BA,none,,3,3,3,3,12,3,advanced,9,0.75,8,9,0,1,2,0,9,10,0,0.46,0.03,0.538461538,0.051282051
5201938,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,computer,Desktop or Laptop,Windows,Chrome,1536x722,1,42,f,Palestinian,UK,yes,doctorate,Arabic,Palestinian,Gaza,13,10,no,> 1 year,Diploma,Diploma,none,,3,3,3,1,10,2.5,intermediate,10,0.83,6,3,0,5,4,0,2,3,0,0.57,0.21,0.434782609,0.173913043
5182922,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.61,earphones,mobile,Apple iPhone,iOS,Mobile Safari,808x331,1,27,f,Saudi,UK,yes,bachelors,Arabic,Saudi,,19,5,no,< 6 months,none,,none,,4,4,2,2,12,3,intermediate,11,0.92,8,9,1,5,5,0,7,6,0,0.49,0.12,0.487804878,0.12195122
5189512,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.69,no_headphones,computer,Desktop or Laptop,Mac OS,Safari,1440x820,1,18,f,Egyptian,Netherlands,yes,secondary,Arabic,Egyptian,,3,18,yes,> 5 years,GCSE,English,none,,5,5,4,5,19,4.75,nearnative,9,0.75,12,8,0,12,0,0,12,10,0,0.67,0.22,0.333333333,0
5155797,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,667x325,1,19,m,Syrian,Sweden ,yes,secondary,Arabic,Syrian,,6,1,no,none,Secondary school,Swedish upper secondary level,Swedish,,5,5,5,5,20,5,nearnative,12,1,9,2,3,2,0,3,3,3,3,0.5,0.07,0.178571429,0
